0.0612373	53600.0612373	0	5360
0.128251	5360	5896
0.134544	5896	6432
0.140837	6432	6968
0.147131	6968	7504
0.153424	7504	8040
0.19512	8040	8576
0.201413	8576	9112
0.207707	9112	9648
0.214	9648	10184
0.220293	10184	10720
0.226587	10720	11256
0.23288	11256	11792
0.261989	11792	12328
0.268283	12328	12864
0.274576	12864	13400
0.280869	13400	13936
0.287163	13936	14472
0.293456	14472	15008
0.299749	15008	15544
0.306043	15544	16080
0.312336	16080	16616
0.318629	16616	17152
0.324923	17152	17688
0.332005	17688	18224
0.338299	18224	18760
0.344592	18760	19296
0.350885	19296	19832
0.357179	19832	20368
0.363472	20368	20904
0.369765	20904	21440
0.376059	21440	21976
0.382352	21976	22512
0.388645	22512	23048
0.401317	23048	22512
0.404464	22512	21976
0.407611	21976	21637
0.413989	21637	21345
0.417136	21345	21053
0.420283	21053	20226
0.423429	20226	19934
0.426576	19934	19642
0.429723	19642	19350
0.432869	19350	19058
0.436016	19058	18766
0.439163	18766	18475
0.442309	18475	18183
0.445456	18183	17891
0.448603	17891	17599
0.451749	17599	17307
0.454896	17307	17016
0.458043	17016	16724
0.461189	16724	16432
0.464336	16432	16140
0.467483	16140	15848
0.470629	15848	15556
0.473776	15556	15265
0.476923	15265	14973
0.480069	14973	14681
0.483216	14681	14389
0.486363	14389	14097
0.489509	14097	13805
0.492656	13805	13514
0.495803	13514	13222
0.498949	13222	12930
0.502096	12930	12638
0.505243	12638	12346
0.508389	12346	12055
0.511536	12055	11763
0.514683	11763	10988
0.517829	10988	10720
0.533477	10720	10988
0.536624	10988	10720
0.539685	10720	10988
0.539685	10988	11014
0.545979	11014	11040
0.552272	11040	11066
0.558565	11066	11091
0.564859	11091	11116
0.571152	11116	11141
0.577445	11141	11166
0.587845	11166	11191
0.594139	11191	11216
0.600432	11216	11241
0.606725	11241	11266
0.615995	11266	11291
0.622288	11291	11316
0.628581	11316	11341
0.634875	11341	11366
0.641168	11366	11391
0.647461	11391	11416
0.657861	11416	11441
0.664155	11441	11466
0.670448	11466	11491
0.676741	11491	11516
0.683035	11516	11540
0.689328	11540	11564
0.695621	11564	11588
0.701915	11588	11612
0.708208	11612	11636
0.714501	11636	11660
0.724731	11660	11684
0.731024	11684	11708
0.743696	11708	10720
0.746843	10720	10184
0.749989	10184	9777
0.753136	9777	9462
0.756283	9462	9147
0.759429	9147	8833
0.762576	8833	8518
0.765723	8518	8204
0.768869	8204	7889
0.772016	7889	7574
0.775163	7574	7260
0.778309	7260	6945
0.781456	6945	6631
0.784603	6631	6316
0.791685	6316	6001
0.794832	6001	5687
0.797979	5687	5092
0.801125	5092	4824
0.810565	4824	5092
0.810565	5092	5148
0.832592	5148	5203
0.848325	5203	5258
0.867995	5258	5312
0.874373	5312	5366
0.899461	5366	5419
0.915195	5419	5472
0.934864	5472	5524
0.941243	5524	5576
0.947536	5576	5627
0.969477	5627	5678
0.985211	5678	5728
1.00488	5728	5778
1.01126	5778	5827
1.01755	5827	5876
1.03949	5876	5924
1.05523	5924	5972
1.0749	5972	6020
1.08127	6020	6067
1.08757	6067	6114
1.10951	6114	6160
1.1221	6160	6206
1.14177	6206	6252
1.14814	6252	6297
1.15444	6297	6342
1.17638	6342	6387
1.18897	6387	6431
1.20863	6431	6475
1.21501	6475	6519
1.22131	6519	6563
1.24325	6563	6606
1.25583	6606	6649
1.2755	6649	6692
1.2818	6692	6734
1.28809	6734	6776
1.29438	6776	6818
1.31326	6818	6860
1.34875	6860	5896
1.3519	5896	5360
1.35505	5360	4863
1.35819	4863	4518
1.36134	4518	4174
1.36449	4174	3829
1.38022	3829	3484
1.38337	3484	2680
1.41877	2680	2787
1.47628	2787	2890
1.48258	2890	2989
1.54315	2989	3085
1.54945	3085	3178
1.61002	3178	3268
1.61631	3268	3355
1.67689	3355	3440
1.68318	3440	3523
1.68948	3523	3604
1.74691	3604	3683
1.7532	3683	3761
1.75949	3761	3837
1.81692	3837	3911
1.82322	3911	3984
1.82951	3984	4056
1.88379	4056	4126
1.89009	4126	4195
